timestamp,train_id,track_section,signal_voltage,vibration_hz,speed_kmh,temperature_celsius
2026-06-05T00:34:42.314422,TRAIN_039,SECTION_H,231.14,41.05,83.68,40.63
2026-06-05T00:35:42.314422,TRAIN_029,SECTION_I,222.67,46.42,88.84,25.45
2026-06-05T00:36:42.314422,TRAIN_015,SECTION_E,225.75,59.89,106.63,41.5
2026-06-05T00:37:42.314422,TRAIN_043,SECTION_F,229.86,46.96,106.12,37.76
2026-06-05T00:38:42.314422,TRAIN_008,SECTION_D,232.67,55.22,96.58,27.67
2026-06-05T00:39:42.314422,TRAIN_021,SECTION_E,223.66,42.65,73.08,37.35
2026-06-05T00:40:42.314422,TRAIN_039,SECTION_G,220.18,49.09,109.13,41.36
2026-06-05T00:41:42.314422,TRAIN_019,SECTION_I,226.9,43.7,98.83,37.04
2026-06-05T00:42:42.314422,TRAIN_023,SECTION_J,229.66,43.84,73.28,44.98
2026-06-05T00:43:42.314422,TRAIN_011,SECTION_F,223.69,41.99,88.84,35.14
2026-06-05T00:44:42.314422,TRAIN_011,SECTION_F,229.84,48.64,119.83,38.46
2026-06-05T00:45:42.314422,TRAIN_024,SECTION_H,226.77,41.51,79.7,26.41
2026-06-05T00:46:42.314422,TRAIN_036,SECTION_D,229.1,58.2,66.99,41.26
2026-06-05T00:47:42.314422,TRAIN_040,SECTION_C,226.95,48.96,61.3,37.48
2026-06-05T00:48:42.314422,TRAIN_024,SECTION_G,232.57,56.77,71.08,36.22
2026-06-05T00:49:42.314422,TRAIN_003,SECTION_E,220.86,59.59,71.22,39.18
2026-06-05T00:50:42.314422,TRAIN_022,SECTION_B,223.42,53.56,111.48,36.21
2026-06-05T00:51:42.314422,TRAIN_002,SECTION_B,228.66,58.03,69.37,40.33
2026-06-05T00:52:42.314422,TRAIN_024,SECTION_F,227.13,42.71,111.76,36.67
2026-06-05T00:53:42.314422,TRAIN_044,SECTION_H,227.83,56.6,65.2,35.4
2026-06-05T00:54:42.314422,TRAIN_030,SECTION_A,236.08,45.42,114.4,27.7
2026-06-05T00:55:42.314422,TRAIN_038,SECTION_F,237.73,49.45,75.38,34.44
2026-06-05T00:56:42.314422,TRAIN_002,SECTION_B,224.97,52.93,96.69,35.76
2026-06-05T00:57:42.314422,TRAIN_021,SECTION_B,236.73,58.07,69.58,37.49
2026-06-05T00:58:42.314422,TRAIN_033,SECTION_G,229.18,58.22,83.4,34.12
2026-06-05T00:59:42.314422,TRAIN_012,SECTION_J,225.48,41.84,65.15,27.93
